央视卫视,#genre#
伦敦团体世乒赛 第六日热身区 全场回放（一） 18:30,http://156.238.248.80:8880/play/269.477788.m3u8
伦敦团体世乒赛 第六日热身区 全场回放（二） 18:30,http://156.238.248.80:8880/play/270.704290.m3u8
贵州村超 贵阳朋心足球队VS南宁老友联队 全场回放 8:30,http://156.238.248.80:8880/play/271.447647.m3u8
中甲 宁波职业足球俱乐部VS长春亚泰 全场回放 18:50,http://156.238.248.80:8880/play/272.764488.m3u8
中甲 宁波职业足球俱乐部VS长春亚泰 全场回放 18:50,http://156.238.248.80:8880/play/273.970601.m3u8
粤超 汕尾VS河源 2026赛季广东省城市足球超级联赛第二轮: 汕尾VS河源 19:00,http://156.238.248.80:8880/play/274.906018.m3u8
粤超 中山VS广州 2026赛季广东省城市足球超级联赛第二轮: 中山VS广州 19:00,http://156.238.248.80:8880/play/275.281623.m3u8
英女超 曼城女足VS利物浦女足 全场回放（刘畅） 18:45,http://156.238.248.80:8880/play/276.682632.m3u8
英女超 托特纳姆热刺女足VS伦敦城雌狮女足 全场回放（沈云怡） 18:45,http://156.238.248.80:8880/play/277.211793.m3u8
中甲 梅州客家VS深圳青年人 全场回放（官方解说） 19:20,http://156.238.248.80:8880/play/278.773838.m3u8
中甲 南京城市VS苏州东吴 全场回放（官方解说） 19:20,http://156.238.248.80:8880/play/279.421235.m3u8
伦敦团体世乒赛 中国女团小组赛全胜 中国男团2-3瑞典 【男团小组赛A阶段】中国2-3瑞典（刘国正、周雨、周泽昊） 19:30,http://156.238.248.80:8880/play/280.392613.m3u8
伦敦团体世乒赛 中国女团小组赛全胜 中国男团2-3瑞典 【女团小组赛A阶段】中国3-0韩国（侯英超、程靖淇、周冠达） 19:30,http://156.238.248.80:8880/play/281.729924.m3u8
伦敦团体世乒赛 中国女团小组赛全胜 中国男团2-3瑞典 全场回放（世乒赛观察室）（刘国正、周雨、周泽昊） 19:30,http://156.238.248.80:8880/play/282.935473.m3u8
伦敦团体世乒赛 中国女团小组赛全胜 中国男团2-3瑞典 全场回放（世乒赛观察室）（侯英超、程靖淇、周冠达） 19:30,http://156.238.248.80:8880/play/283.867140.m3u8
伦敦团体世乒赛 中国男团VS瑞典男团 【回放】王楚钦3-0安东·卡尔伯格 19:30,http://156.238.248.80:8880/play/284.312687.m3u8
伦敦团体世乒赛 中国男团VS瑞典男团 【回放】林诗栋2-3伊莱亚斯·兰弗利 19:30,http://156.238.248.80:8880/play/285.984090.m3u8
伦敦团体世乒赛 中国男团VS瑞典男团 【回放】梁靖崑2-3特鲁斯·莫雷加德 19:30,http://156.238.248.80:8880/play/286.149427.m3u8
伦敦团体世乒赛 中国男团VS瑞典男团 【回放】王楚钦3-0伊莱亚斯·兰弗利 19:30,http://156.238.248.80:8880/play/287.421221.m3u8
伦敦团体世乒赛 中国男团VS瑞典男团 【回放】林诗栋1-3安东·卡尔伯格 19:30,http://156.238.248.80:8880/play/288.500224.m3u8
伦敦团体世乒赛 中国男团VS瑞典男团 全场回放（刘国正、周雨、周泽昊） 19:30,http://156.238.248.80:8880/play/289.122833.m3u8
伦敦团体世乒赛 中国男团VS瑞典男团 全场回放 19:30,http://156.238.248.80:8880/play/290.869245.m3u8
伦敦团体世乒赛 中国男团VS瑞典男团 全场回放（英文解说） 19:30,http://156.238.248.80:8880/play/291.424049.m3u8
伦敦团体世乒赛 中国女团VS韩国女团 【回放】孙颖莎3-0金娜英 19:00,http://156.238.248.80:8880/play/292.449036.m3u8
伦敦团体世乒赛 中国女团VS韩国女团 【回放】王艺迪3-0朴佳贤 19:00,http://156.238.248.80:8880/play/293.227416.m3u8
伦敦团体世乒赛 中国女团VS韩国女团 【回放】蒯曼3-0柳是宇 19:00,http://156.238.248.80:8880/play/294.575685.m3u8
伦敦团体世乒赛 中国女团VS韩国女团 全场回放（侯英超、程靖淇、周冠达） 19:00,http://156.238.248.80:8880/play/295.421832.m3u8
伦敦团体世乒赛 中国女团VS韩国女团 全场回放 19:00,http://156.238.248.80:8880/play/296.122352.m3u8
粤超 佛山VS阳江 2026赛季广东省城市足球超级联赛第二轮: 佛山VS阳江 19:30,http://156.238.248.80:8880/play/297.449025.m3u8
齐鲁超赛 日照队VS泰安泰山城建队 全场回放 19:30,http://156.238.248.80:8880/play/298.486373.m3u8
赣超 新余市VS九江市 全场回放 19:30,http://156.238.248.80:8880/play/299.530911.m3u8
赣超 抚州市VS吉安市 全场回放 19:30,http://156.238.248.80:8880/play/300.798335.m3u8
闽超 南平队VS莆田队 全场回放 19:00,http://156.238.248.80:8880/play/301.962040.m3u8
